Date,Open,High,Low,Close,Volume,,,,,,,,,,,,
5/15/2024 0:00,2356.47,2359.61,2355.01,2357.82,4685,,,,,,,,,,,,
5/15/2024 4:00,2356.99,2358.96,2354.84,2357.54,6774,,,,,,,,,,,,
5/15/2024 8:00,2357.54,2360.96,2355.73,2359.49,8522,,,,,,,,,,,,
5/15/2024 12:00,2359.46,2374.27,2356.83,2369.53,14213,,,,,,,,,,,,
5/15/2024 16:00,2369.52,2378.41,2351.84,2355.98,17323,,,,,,,,,,,,
5/15/2024 20:00,2355.92,2390.23,2353.89,2388.78,17349,,,,,,,,,,,,
5/16/2024 0:00,2388.78,2388.78,2383.58,2387.21,5290,,,,,,,,,,,,
5/16/2024 4:00,2387.61,2397.25,2386.94,2390.53,10170,,,,,,,,,,,,
5/16/2024 8:00,2390.53,2394.52,2386.65,2390.28,12789,,,,,,,,,,,,
5/16/2024 12:00,2390.27,2391.36,2383.65,2385.28,15958,,,,,,,,,,,,
5/16/2024 16:00,2385.37,2386.62,2371.78,2375.41,18764,,,,,,,,,,,,
5/16/2024 20:00,2375.45,2383.81,2371.02,2381.58,16738,,,,,,,,,,,,
5/17/2024 0:00,2381.55,2382.06,2375.8,2376.11,5928,,,,,,,,,,,,
5/17/2024 4:00,2377.85,2379.73,2376.28,2378.32,8206,,,,,,,,,,,,
5/17/2024 8:00,2378.33,2382.4,2374.05,2381,10979,,,,,,,,,,,,
5/17/2024 12:00,2381.12,2387.84,2380.97,2382.06,14649,,,,,,,,,,,,
5/17/2024 16:00,2382.08,2405.22,2381.86,2401.5,17567,,,,,,,,,,,,
5/17/2024 20:00,2401.54,2418.97,2398.85,2413.85,19544,,,,,,,,,,,,
5/18/2024 0:00,2413.75,2422.74,2411.53,2414.26,8790,,,,,,,,,,,,
5/20/2024 4:00,2423.02,2440.51,2416.6,2434.71,13849,,,,,,,,,,,,
5/20/2024 8:00,2434.71,2450.07,2428.94,2448.5,16281,,,,,,,,,,,,
5/20/2024 12:00,2448.81,2449.58,2432.1,2442.6,19053,,,,,,,,,,,,
5/20/2024 16:00,2442.4,2443.07,2407.4,2421.48,22107,,,,,,,,,,,,
5/20/2024 20:00,2421.36,2436.75,2414.85,2435.55,19670,,,,,,,,,,,,
5/21/2024 0:00,2435.55,2437.35,2423.37,2425.06,9533,,,,,,,,,,,,
5/21/2024 4:00,2427,2433.06,2419.51,2420.83,11368,,,,,,,,,,,,
5/21/2024 8:00,2420.79,2422.62,2406.43,2416.59,15636,,,,,,,,,,,,
5/21/2024 12:00,2416.61,2422.11,2408.7,2417.12,17973,,,,,,,,,,,,
5/21/2024 16:00,2417.17,2431.53,2414.8,2427.19,19469,,,,,,,,,,,,
5/21/2024 20:00,2427.52,2433.96,2418.17,2418.81,20098,,,,,,,,,,,,
5/22/2024 0:00,2418.84,2425.08,2417.61,2420.71,7004,,,,,,,,,,,,
5/22/2024 4:00,2421.23,2423.45,2419.38,2422.7,8676,,,,,,,,,,,,
5/22/2024 8:00,2422.69,2426.59,2411.78,2416.97,14707,,,,,,,,,,,,
5/22/2024 12:00,2416.96,2418.58,2410.66,2417.3,17291,,,,,,,,,,,,
5/22/2024 16:00,2417.26,2419.34,2404.84,2410.05,19592,,,,,,,,,,,,
5/22/2024 20:00,2409.99,2410.26,2382.31,2388.06,20834,,,,,,,,,,,,
5/23/2024 0:00,2388.13,2390.78,2375.06,2378.07,11411,,,,,,,,,,,,
5/23/2024 4:00,2379.4,2383.66,2366.84,2374.6,11060,,,,,,,,,,,,
5/23/2024 8:00,2374.59,2375.77,2357.5,2358.01,13070,,,,,,,,,,,,
5/23/2024 12:00,2357.82,2367.3,2355.04,2364.59,17865,,,,,,,,,,,,
5/23/2024 16:00,2364.49,2369.85,2350.77,2362.71,18920,,,,,,,,,,,,
5/23/2024 20:00,2362.89,2363.92,2331.88,2332.54,21526,,,,,,,,,,,,
5/24/2024 0:00,2332.47,2336.41,2326.68,2328.56,9448,,,,,,,,,,,,
5/24/2024 4:00,2328.71,2335.19,2326.8,2333.54,10102,,,,,,,,,,,,
5/24/2024 8:00,2333.47,2339.26,2325.46,2338.02,12709,,,,,,,,,,,,
5/24/2024 12:00,2337.91,2343.32,2334.89,2337.14,14790,,,,,,,,,,,,
5/24/2024 16:00,2337.14,2347.37,2335.94,2340.07,16638,,,,,,,,,,,,
5/24/2024 20:00,2340.3,2343.24,2331.96,2332.68,16967,,,,,,,,,,,,
5/25/2024 0:00,2332.68,2336.77,2331.95,2333.18,6293,,,,,,,,,,,,
5/27/2024 4:00,2335.59,2340.75,2331.68,2339.69,9306,,,,,,,,,,,,
5/27/2024 8:00,2339.63,2347.62,2338.82,2343.41,11239,,,,,,,,,,,,
